copy_cossim,cossim,encoder,horizon_step,horizon_trained,model,n_windows,seed
0.913836,0.903316,clip_b32,6,8,dit_x0_actseq,4819,2
0.908684,0.901282,clip_b32,7,8,dit_x0_actseq,4819,2
0.90469,0.900099,clip_b32,8,8,dit_x0_actseq,4819,2
0.957919,0.952624,clip_b32,1,8,mlp_flat_actseq,4819,2
0.943215,0.936919,clip_b32,2,8,mlp_flat_actseq,4819,2
0.932937,0.927925,clip_b32,3,8,mlp_flat_actseq,4819,2
0.925153,0.921736,clip_b32,4,8,mlp_flat_actseq,4819,2
0.918906,0.916583,clip_b32,5,8,mlp_flat_actseq,4819,2
0.913207,0.911865,clip_b32,6,8,mlp_flat_actseq,4819,2
0.907988,0.907937,clip_b32,7,8,mlp_flat_actseq,4819,2
0.903965,0.90431,clip_b32,8,8,mlp_flat_actseq,4819,2
0.957919,0.911751,clip_b32,1,8,dit_x0_single,4819,2
0.943215,0.909423,clip_b32,2,8,dit_x0_single,4819,2
0.932937,0.907463,clip_b32,3,8,dit_x0_single,4819,2
0.925153,0.9057,clip_b32,4,8,dit_x0_single,4819,2
0.918906,0.903804,clip_b32,5,8,dit_x0_single,4819,2
0.913207,0.901524,clip_b32,6,8,dit_x0_single,4819,2
0.907988,0.900456,clip_b32,7,8,dit_x0_single,4819,2
0.903965,0.89813,clip_b32,8,8,dit_x0_single,4819,2
0.957753,0.957168,clip_b32,1,8,mlp_residual_single,4819,2
0.942982,0.942024,clip_b32,2,8,mlp_residual_single,4819,2
0.932576,0.932333,clip_b32,3,8,mlp_residual_single,4819,2
0.924707,0.925623,clip_b32,4,8,mlp_residual_single,4819,2
0.918523,0.920543,clip_b32,5,8,mlp_residual_single,4819,2
0.912847,0.915914,clip_b32,6,8,mlp_residual_single,4819,2
0.907744,0.911484,clip_b32,7,8,mlp_residual_single,4819,2
0.903714,0.908728,clip_b32,8,8,mlp_residual_single,4819,2
0.958167,0.910859,clip_b32,1,16,dit_x0_actseq,3619,0
0.943539,0.907724,clip_b32,2,16,dit_x0_actseq,3619,0
0.933292,0.905127,clip_b32,3,16,dit_x0_actseq,3619,0
0.925427,0.90267,clip_b32,4,16,dit_x0_actseq,3619,0
0.919356,0.90069,clip_b32,5,16,dit_x0_actseq,3619,0
0.913923,0.898818,clip_b32,6,16,dit_x0_actseq,3619,0
0.908853,0.896948,clip_b32,7,16,dit_x0_actseq,3619,0
0.905143,0.895822,clip_b32,8,16,dit_x0_actseq,3619,0
0.901918,0.89434,clip_b32,9,16,dit_x0_actseq,3619,0
0.898566,0.893063,clip_b32,10,16,dit_x0_actseq,3619,0
0.895706,0.89162,clip_b32,11,16,dit_x0_actseq,3619,0
0.892789,0.890021,clip_b32,12,16,dit_x0_actseq,3619,0
0.890323,0.889362,clip_b32,13,16,dit_x0_actseq,3619,0
